Gene ID,Expression level
WBGene00001085,2.94
WBGene00001086,21.042
WBGene00001087,3.134
WBGene00001088,55.387
WBGene00001089,21.445
WBGene00001090,1.99
WBGene00001091,14.79
WBGene00001092,0.612
WBGene00001093,25.906
WBGene00001094,68.748
WBGene00001095,10.015
WBGene00001096,0
WBGene00001099,0
WBGene00001101,18.852
WBGene00001102,0.636
WBGene00001103,0
WBGene00001104,0
WBGene00001105,0
WBGene00001106,0
WBGene00001107,0
WBGene00001108,0
WBGene00001109,0
WBGene00001110,0
WBGene00001111,0
WBGene00001112,14.298
WBGene00001113,387.546
WBGene00001115,9.257
WBGene00001116,30.551
WBGene00001117,0
WBGene00001118,3.921
WBGene00001119,0
WBGene00001121,0
WBGene00001122,0
WBGene00001123,0
WBGene00001127,0
WBGene00001129,17.89
WBGene00001130,21.798
WBGene00001131,70.76
WBGene00001132,576.084
WBGene00001133,0
WBGene00001134,37.651
WBGene00001135,99.521
WBGene00001136,0
WBGene00001137,187.256
WBGene00001145,129.313
WBGene00001147,0
WBGene00001148,0.151
WBGene00001149,265.722
WBGene00001150,0
WBGene00001151,20.09
WBGene00001152,24.36
WBGene00001153,34.923
WBGene00001154,24.125
WBGene00001155,180.783
WBGene00001156,0.147
WBGene00001157,1.137
WBGene00001158,0
WBGene00001159,0
WBGene00001160,21.299
WBGene00001161,3.721
WBGene00001162,0.572
WBGene00001163,14.942
WBGene00001164,0
WBGene00001165,0
WBGene00001166,11.341
WBGene00001167,3926.613
WBGene00001168,2893.797
WBGene00001169,579.124
WBGene00001170,0.167
WBGene00001171,0
WBGene00001172,21.916
WBGene00001173,136.271
WBGene00001174,0.089
WBGene00001175,0
WBGene00001177,15.84
WBGene00001178,25.225
WBGene00001179,9.267
WBGene00001182,26.572
WBGene00001184,0.161
WBGene00001185,0
WBGene00001186,0
WBGene00001187,60.105
WBGene00001188,0.676
WBGene00001189,111.172
WBGene00001190,0
WBGene00001193,0.076
WBGene00001194,19.089
WBGene00001196,472.762
WBGene00001202,23.647
WBGene00001204,0.151
WBGene00001207,0
WBGene00001208,6.056
WBGene00001209,50.204
WBGene00001210,3.74
WBGene00001211,0
WBGene00001214,0
WBGene00001215,4.246
WBGene00001223,0
WBGene00001224,17.415
WBGene00001225,60.963
WBGene00001226,80.842
WBGene00001227,64.015
WBGene00001228,11.086
WBGene00001229,60.014
WBGene00001230,31.424
WBGene00001231,24.847
WBGene00001232,10.355
WBGene00001233,47.193
WBGene00001234,19.167
WBGene00001235,26.524
WBGene00001236,0.072
WBGene00001237,0
WBGene00001239,32.932
WBGene00001240,0.874
WBGene00001241,23.813
WBGene00001242,0
WBGene00001243,11.811
WBGene00001244,27.221
WBGene00001245,0
WBGene00001246,4.66
WBGene00001247,0
WBGene00001248,22.811
WBGene00001249,1.379
WBGene00001250,0
WBGene00001251,0
WBGene00001252,0
WBGene00001253,0
WBGene00001258,3.413
WBGene00001259,9.115
WBGene00001262,2.556
WBGene00001263,658.238
WBGene00001281,1.573
WBGene00001284,18.323
WBGene00001303,257.416
WBGene00001309,11.825
WBGene00001310,0
WBGene00001311,0.262
WBGene00001320,2.366
WBGene00001324,15.182
WBGene00001325,4.573
WBGene00001328,123.36
WBGene00001329,26.124
WBGene00001330,15.335
WBGene00001331,190.609
WBGene00001332,2.653
WBGene00001333,32.545
WBGene00001334,18.679
WBGene00001335,10.194
