Gene,ADL,AFD,AIN,AIY,ASEL,ASER
WBGene00000150,1.068550272,2.370752385,0.297799719,0.945698316,0.302350926,0.866988281
WBGene00000151,1.05739833,0.296246552,0.392446375,0.837168188,0.832385035,0.477433582
WBGene00000155,0.831043449,0.13347389,0.396600956,1.002604564,1.053929502,2.989722388
WBGene00000156,0.090892015,1.200634264,0.74517294,0.070406605,0.494834677,0.369518304
WBGene00000157,0.339730517,0.303325246,0.40919348,0.233636519,0.587148856,0.672052529
WBGene00000158,0.66568221,0.802384114,0.547490083,0.484042546,0.535431717,0.60246144
WBGene00000159,0.795466451,2.813012529,1.100971747,1.25003932,0.912485318,0.687030439
WBGene00000160,0.525329687,1.779033317,0.748728222,0.314131019,0.31209432,2.005357672
WBGene00000161,1.077904712,0.302875785,0.781144326,0.882033443,0.676119539,1.255530191
WBGene00000162,0.301013838,1.754410424,0.830814208,0.409882645,0.620209585,0.376401682
WBGene00000163,0.453716657,0.963348231,1.095587802,1.431946061,0.625831768,0.600586642
WBGene00000164,0.828372444,0.5723422,1.411902473,0.675587855,1.263983378,1.271701752
WBGene00000165,0.28547685,0.570606912,0.207007222,0.451742092,0.872570242,0.833400465
WBGene00000166,0.744759154,0.32107548,0.986570396,1.094367977,0.28919629,0.597007091
WBGene00000168,0.421802954,0.555684774,0.63858738,0.482153946,0.393009757,0.515871904
WBGene00000169,0.310314704,19.07973994,0.425396295,0.30223454,0.444436216,0.673966851
WBGene00000170,0.036469339,0.465768624,0.077387745,0.016489081,0.529205394,1.008366679
WBGene00000171,1.061970148,0,0.41990664,24.07267909,0,0
WBGene00000172,0.135408792,1.301898923,0.115561634,0.543158021,1.340774456,1.698939703
WBGene00000173,0.264669123,0.201338628,0.64757932,0.677129375,0,0.166486378
WBGene00000174,0,0,1.264566461,0,1.28562665,0.058803303
WBGene00000175,1.245250719,0.155417887,0.884648439,1.511600772,0.62043503,0.705231895
WBGene00000176,1.560919056,1.131876738,0.345545202,0.514848788,0.527900337,0.416966684
WBGene00000177,0.392214263,0.21106414,0.366504965,0.456654644,0.188360375,0.319309952
WBGene00000178,0.367942788,0.109126122,0.15695767,0.488810628,2.443400155,0.148746866
WBGene00000179,2.346040615,0.432025402,0.329857769,0.603876249,0.44496669,1.798693022
WBGene00000180,0.730694135,0.419069246,1.373158111,3.86893118,0.666324575,0.532431617
WBGene00000181,0.737967367,0.046130616,1.421844243,2.149115013,0.42253585,0.156229726
WBGene00000182,0.808643299,1.02354218,1.480449253,1.618930905,0.503199204,1.310654897
WBGene00000183,0.934185292,1.144343895,1.575968733,0.334933534,1.224817999,1.739001544
WBGene00000184,0.411708614,0.590202311,0.827189644,0.126819394,0.666542642,0.593984189
WBGene00000185,0.72382611,0,1.524140242,0,0,0
WBGene00000186,0.177406965,0.038437059,0.73189436,1.253522649,0.407324314,0.523592316
WBGene00000187,1.048132582,1.099225381,0.493732254,0.748059085,0.477594198,1.192464788
WBGene00000188,2.131678787,1.851115066,0.003442777,0.014907428,3.002811165,4.088565504
WBGene00000189,1.959374612,0.085809825,0.372944011,0.281630632,0.088975729,0.126919336
WBGene00000190,1.796997932,0.331858632,0.62893752,0.072186402,0.17241093,0.213702029
WBGene00000191,5.99022411,0.803988758,0.071313481,0.009997944,0.9493073,0.339194724
WBGene00000192,0.841511343,1.021907807,1.1344462,0.313912271,0.692443544,0.85382048
WBGene00000193,3.419186116,0.331167943,0.035050319,0,1.425712564,2.126055185
WBGene00000195,5.22026256,0.133347784,0.776792768,1.393804542,0.953687627,1.634091509
WBGene00000196,0.943414758,1.116481608,0.676416722,0.760572588,1.011081701,0.852108674
WBGene00000197,0.883814894,0.440716451,1.348662113,0.665482623,0.290993328,0.364467808
WBGene00000198,0.943312807,0.295557616,2.078738909,0.598286984,1.294414274,2.333090657
WBGene00000199,1.003225433,0.756722957,0.741813242,1.999975691,1.375953635,5.295699888
WBGene00000200,0.943245078,0.318447722,1.324092583,0.173535783,0.472031493,1.177236278
WBGene00000201,0.953788412,1.132776316,0.970111954,1.112036712,1.670715208,3.753897153
WBGene00000202,0.213001711,0.170054413,0.887842873,0.614622538,1.511348418,1.063393026
WBGene00000203,0.38363162,0.854099415,0.486687197,1.107107777,0.471222483,0.534497396
WBGene00000204,0.787578503,1.055238481,0.541593987,0.409174158,1.141273068,0.516329747
WBGene00000205,0.983923939,0.444157295,0.497684007,0.123532649,0.346450179,0.716444491
WBGene00000206,0.680043944,1.192146526,0.491570202,0.890138055,3.12923883,0.710662616
WBGene00000207,0.604010007,0.489424381,0.723748677,0.126595547,1.507872784,1.267863921
WBGene00000208,0.377264342,0.571344436,0.894207644,0.609112984,0.591513585,0.489678387
WBGene00000209,0.27599763,0.198394316,0.266918685,1.116411353,1.627184038,3.192510856
WBGene00000210,0.713844048,0.892281043,1.059828573,1.312106798,2.040447486,0.73204656
WBGene00000211,0.763744719,0.752953316,0.723826173,0.779518568,0.987378848,0.890193028
WBGene00000212,0.168848664,0.201618953,0.762385701,0.225458803,0.312538684,12.23625928
WBGene00000213,2.01788102,0.878242405,1.108756944,0.246401826,0.696779352,0.485238696
WBGene00000214,0.58345123,0.165934041,0.931687141,4.146322213,0.255178961,0.204802662
WBGene00000215,0.747822924,0.692774766,0.708896257,1.395693119,0.771392497,0.781349738
WBGene00000216,0.106009447,0.113493706,0.120876245,0.23505782,1.028630716,0.13975063
